0,2.2 3.3 2.7 2.3 3.7 2.5 2.33 3.65 2.53
0,3.5 3.3 2.01 3.66 3.2 1.88 3.62 3.4 1.98
1,1.34 4.56 7.64 1.38 4.23 7.32 1.35 4.45 7.55
1,2.25 3.3 2.88 2.50 3.1 2.67 2.46 3.55 2.21
2,11.45 7.4 1.23 13.23 7.8 1.17 12.54 7.65 1.19
2,4.46 3.4 1.95 4.2 3.7 2.01 4.27 3.57 2.02
0,4.31 3.3 1.94 4.56 3.3 1.87 4.52 3.31 1.91
0,1.56 4.32 7.46 1.44 4.21 8.21 1.77 4.40 7.21
1,9.56 5.1 1.38 9.77 5.88 1.31 9.66 5.55 1.35
1,3.34 3.32 2.21 3.31 3.05 2.36 3.31 3.20 2.30
2,2.20 3.31 3.46 2.01 3.28 3.36 2.07 3.37 3.11
2,1.67 3.79 6.31 1.73 3.97 6.21 1.73 4.13 6.37
0,1.09 8.84 18.56 1.11 8.56 17.64 1.13 8.32 17.11
0,1.76 4.36 7.12 1.77 4.38 7.10 1.80 4.41 07.01
1,4.31 3.01 1.97 4.28 3.03 1.93 4.34 3.0 2.01
1,2.53 3.11 2.97 2.55 3.07 2.89 2.56 3.03 3.01
2,3.89 3.01 1.85 3.85 2.98 1.96 3.88 3.00 1.90
2,6.34 3.89 1.69 6.20 3.79 1.78 6.31 3.81 1.73
